date,id,description,team1,team2,team1_score,team1_runs,team1_wickets,team2_score,team2_runs,team2_wickets,result,live_score_link,match_overs_link
 April 26 2023,1359510,"36th Match (N), Bengaluru, April 26, 2023, Indian Premier League",KKR,RCB,200/5,200,5,179/8,179,8,KKR won by 21 runs,/series/indian-premier-league-2023-1345038/royal-challengers-bangalore-vs-kolkata-knight-riders-36th-match-1359510/live-cricket-score,/series/indian-premier-league-2023-1345038/royal-challengers-bangalore-vs-kolkata-knight-riders-36th-match-1359510/match-overs-comparison
 April 27 2023,1359511,"37th Match (N), Jaipur, April 27, 2023, Indian Premier League",RR,CSK,202/5,202,5,170/6,170,6,Royals won by 32 runs,/series/indian-premier-league-2023-1345038/rajasthan-royals-vs-chennai-super-kings-37th-match-1359511/live-cricket-score,/series/indian-premier-league-2023-1345038/rajasthan-royals-vs-chennai-super-kings-37th-match-1359511/match-overs-comparison
 April 28 2023,1359512,"38th Match (N), Mohali, April 28, 2023, Indian Premier League",LSG,PBKS,257/5,257,5,201,201,10,Super Giants won by 56 runs,/series/indian-premier-league-2023-1345038/punjab-kings-vs-lucknow-super-giants-38th-match-1359512/live-cricket-score,/series/indian-premier-league-2023-1345038/punjab-kings-vs-lucknow-super-giants-38th-match-1359512/match-overs-comparison
 April 29 2023,1359513,"39th Match (D/N), Eden Gardens, April 29, 2023, Indian Premier League",KKR,GT,179/7,179,7,180/3,180,3,Titans won by 7 wickets (with 13 balls remaining),/series/indian-premier-league-2023-1345038/kolkata-knight-riders-vs-gujarat-titans-39th-match-1359513/live-cricket-score,/series/indian-premier-league-2023-1345038/kolkata-knight-riders-vs-gujarat-titans-39th-match-1359513/match-overs-comparison
 April 29 2023,1359514,"40th Match (N), Delhi, April 29, 2023, Indian Premier League",SRH,DC,197/6,197,6,188/6,188,6,Sunrisers won by 9 runs,/series/indian-premier-league-2023-1345038/delhi-capitals-vs-sunrisers-hyderabad-40th-match-1359514/live-cricket-score,/series/indian-premier-league-2023-1345038/delhi-capitals-vs-sunrisers-hyderabad-40th-match-1359514/match-overs-comparison
 April 30 2023,1359515,"41st Match (D/N), Chennai, April 30, 2023, Indian Premier League",CSK,PBKS,200/4,200,4,201/6,201,6,Punjab Kings won by 4 wickets (with 0 balls remaining),/series/indian-premier-league-2023-1345038/chennai-super-kings-vs-punjab-kings-41st-match-1359515/live-cricket-score,/series/indian-premier-league-2023-1345038/chennai-super-kings-vs-punjab-kings-41st-match-1359515/match-overs-comparison
 April 30 2023,1359516,"42nd Match (N), Wankhede, April 30, 2023, Indian Premier League",RR,MI,212/7,212,7,214/4,214,4,Mumbai won by 6 wickets (with 3 balls remaining),/series/indian-premier-league-2023-1345038/mumbai-indians-vs-rajasthan-royals-42nd-match-1359516/live-cricket-score,/series/indian-premier-league-2023-1345038/mumbai-indians-vs-rajasthan-royals-42nd-match-1359516/match-overs-comparison
 May 01 2023,1359517,"43rd Match (N), Lucknow, May 01, 2023, Indian Premier League",RCB,LSG,126/9,126,9,108,108,10,RCB won by 18 runs,/series/indian-premier-league-2023-1345038/lucknow-super-giants-vs-royal-challengers-bangalore-43rd-match-1359517/live-cricket-score,/series/indian-premier-league-2023-1345038/lucknow-super-giants-vs-royal-challengers-bangalore-43rd-match-1359517/match-overs-comparison
 May 02 2023,1359518,"44th Match (N), Ahmedabad, May 02, 2023, Indian Premier League",DC,GT,130/8,130,8,125/6,125,6,Capitals won by 5 runs,/series/indian-premier-league-2023-1345038/gujarat-titans-vs-delhi-capitals-44th-match-1359518/live-cricket-score,/series/indian-premier-league-2023-1345038/gujarat-titans-vs-delhi-capitals-44th-match-1359518/match-overs-comparison
 May 03 2023,1359519,"45th Match (D/N), Lucknow, May 03, 2023, Indian Premier League",LSG,CSK,125/7,125,7,,,,No result,/series/indian-premier-league-2023-1345038/lucknow-super-giants-vs-chennai-super-kings-45th-match-1359519/live-cricket-score,/series/indian-premier-league-2023-1345038/lucknow-super-giants-vs-chennai-super-kings-45th-match-1359519/match-overs-comparison
 May 03 2023,1359520,"46th Match (N), Mohali, May 03, 2023, Indian Premier League",PBKS,MI,214/3,214,3,216/4,216,4,Mumbai won by 6 wickets (with 7 balls remaining),/series/indian-premier-league-2023-1345038/punjab-kings-vs-mumbai-indians-46th-match-1359520/live-cricket-score,/series/indian-premier-league-2023-1345038/punjab-kings-vs-mumbai-indians-46th-match-1359520/match-overs-comparison
 May 04 2023,1359521,"47th Match (N), Hyderabad, May 04, 2023, Indian Premier League",KKR,SRH,171/9,171,9,166/8,166,8,KKR won by 5 runs,/series/indian-premier-league-2023-1345038/sunrisers-hyderabad-vs-kolkata-knight-riders-47th-match-1359521/live-cricket-score,/series/indian-premier-league-2023-1345038/sunrisers-hyderabad-vs-kolkata-knight-riders-47th-match-1359521/match-overs-comparison
 May 05 2023,1359522,"48th Match (N), Jaipur, May 05, 2023, Indian Premier League",RR,GT,118,118,10,119/1,119,1,Titans won by 9 wickets (with 37 balls remaining),/series/indian-premier-league-2023-1345038/rajasthan-royals-vs-gujarat-titans-48th-match-1359522/live-cricket-score,/series/indian-premier-league-2023-1345038/rajasthan-royals-vs-gujarat-titans-48th-match-1359522/match-overs-comparison
 May 06 2023,1359523,"49th Match (D/N), Chennai, May 06, 2023, Indian Premier League",MI,CSK,139/8,139,8,140/4,140,4,Super Kings won by 6 wickets (with 14 balls remaining),/series/indian-premier-league-2023-1345038/chennai-super-kings-vs-mumbai-indians-49th-match-1359523/live-cricket-score,/series/indian-premier-league-2023-1345038/chennai-super-kings-vs-mumbai-indians-49th-match-1359523/match-overs-comparison
 May 06 2023,1359524,"50th Match (N), Delhi, May 06, 2023, Indian Premier League",RCB,DC,181/4,181,4,187/3,187,3,Capitals won by 7 wickets (with 20 balls remaining),/series/indian-premier-league-2023-1345038/delhi-capitals-vs-royal-challengers-bangalore-50th-match-1359524/live-cricket-score,/series/indian-premier-league-2023-1345038/delhi-capitals-vs-royal-challengers-bangalore-50th-match-1359524/match-overs-comparison
 May 07 2023,1359525,"51st Match (D/N), Ahmedabad, May 07, 2023, Indian Premier League",GT,LSG,227/2,227,2,171/7,171,7,Titans won by 56 runs,/series/indian-premier-league-2023-1345038/gujarat-titans-vs-lucknow-super-giants-51st-match-1359525/live-cricket-score,/series/indian-premier-league-2023-1345038/gujarat-titans-vs-lucknow-super-giants-51st-match-1359525/match-overs-comparison
 May 07 2023,1359526,"52nd Match (N), Jaipur, May 07, 2023, Indian Premier League",RR,SRH,214/2,214,2,217/6,217,6,Sunrisers won by 4 wickets (with 0 balls remaining),/series/indian-premier-league-2023-1345038/rajasthan-royals-vs-sunrisers-hyderabad-52nd-match-1359526/live-cricket-score,/series/indian-premier-league-2023-1345038/rajasthan-royals-vs-sunrisers-hyderabad-52nd-match-1359526/match-overs-comparison
 May 08 2023,1359527,"53rd Match (N), Eden Gardens, May 08, 2023, Indian Premier League",PBKS,KKR,179/7,179,7,182/5,182,5,KKR won by 5 wickets (with 0 balls remaining),/series/indian-premier-league-2023-1345038/kolkata-knight-riders-vs-punjab-kings-53rd-match-1359527/live-cricket-score,/series/indian-premier-league-2023-1345038/kolkata-knight-riders-vs-punjab-kings-53rd-match-1359527/match-overs-comparison
 May 09 2023,1359528,"54th Match (N), Wankhede, May 09, 2023, Indian Premier League",RCB,MI,199/6,199,6,200/4,200,4,Mumbai won by 6 wickets (with 21 balls remaining),/series/indian-premier-league-2023-1345038/mumbai-indians-vs-royal-challengers-bangalore-54th-match-1359528/live-cricket-score,/series/indian-premier-league-2023-1345038/mumbai-indians-vs-royal-challengers-bangalore-54th-match-1359528/match-overs-comparison
 May 10 2023,1359529,"55th Match (N), Chennai, May 10, 2023, Indian Premier League",CSK,DC,167/8,167,8,140/8,140,8,Super Kings won by 27 runs,/series/indian-premier-league-2023-1345038/chennai-super-kings-vs-delhi-capitals-55th-match-1359529/live-cricket-score,/series/indian-premier-league-2023-1345038/chennai-super-kings-vs-delhi-capitals-55th-match-1359529/match-overs-comparison
 May 11 2023,1359530,"56th Match (N), Eden Gardens, May 11, 2023, Indian Premier League",KKR,RR,149/8,149,8,151/1,151,1,Royals won by 9 wickets (with 41 balls remaining),/series/indian-premier-league-2023-1345038/kolkata-knight-riders-vs-rajasthan-royals-56th-match-1359530/live-cricket-score,/series/indian-premier-league-2023-1345038/kolkata-knight-riders-vs-rajasthan-royals-56th-match-1359530/match-overs-comparison
 May 12 2023,1359531,"57th Match (N), Wankhede, May 12, 2023, Indian Premier League",MI,GT,218/5,218,5,191/8,191,8,Mumbai won by 27 runs,/series/indian-premier-league-2023-1345038/mumbai-indians-vs-gujarat-titans-57th-match-1359531/live-cricket-score,/series/indian-premier-league-2023-1345038/mumbai-indians-vs-gujarat-titans-57th-match-1359531/match-overs-comparison
 May 13 2023,1359532,"58th Match (D/N), Hyderabad, May 13, 2023, Indian Premier League",SRH,LSG,182/6,182,6,185/3,185,3,Super Giants won by 7 wickets (with 4 balls remaining),/series/indian-premier-league-2023-1345038/sunrisers-hyderabad-vs-lucknow-super-giants-58th-match-1359532/live-cricket-score,/series/indian-premier-league-2023-1345038/sunrisers-hyderabad-vs-lucknow-super-giants-58th-match-1359532/match-overs-comparison
 May 13 2023,1359533,"59th Match (N), Delhi, May 13, 2023, Indian Premier League",PBKS,DC,167/7,167,7,136/8,136,8,Punjab Kings won by 31 runs,/series/indian-premier-league-2023-1345038/delhi-capitals-vs-punjab-kings-59th-match-1359533/live-cricket-score,/series/indian-premier-league-2023-1345038/delhi-capitals-vs-punjab-kings-59th-match-1359533/match-overs-comparison
 May 14 2023,1359534,"60th Match (D/N), Jaipur, May 14, 2023, Indian Premier League",RCB,RR,171/5,171,5,59,59,10,RCB won by 112 runs,/series/indian-premier-league-2023-1345038/rajasthan-royals-vs-royal-challengers-bangalore-60th-match-1359534/live-cricket-score,/series/indian-premier-league-2023-1345038/rajasthan-royals-vs-royal-challengers-bangalore-60th-match-1359534/match-overs-comparison
 May 14 2023,1359535,"61st Match (N), Chennai, May 14, 2023, Indian Premier League",CSK,KKR,144/6,144,6,147/4,147,4,KKR won by 6 wickets (with 9 balls remaining),/series/indian-premier-league-2023-1345038/chennai-super-kings-vs-kolkata-knight-riders-61st-match-1359535/live-cricket-score,/series/indian-premier-league-2023-1345038/chennai-super-kings-vs-kolkata-knight-riders-61st-match-1359535/match-overs-comparison
 May 15 2023,1359536,"62nd Match (N), Ahmedabad, May 15, 2023, Indian Premier League",GT,SRH,188/9,188,9,154/9,154,9,Titans won by 34 runs,/series/indian-premier-league-2023-1345038/gujarat-titans-vs-sunrisers-hyderabad-62nd-match-1359536/live-cricket-score,/series/indian-premier-league-2023-1345038/gujarat-titans-vs-sunrisers-hyderabad-62nd-match-1359536/match-overs-comparison
 May 16 2023,1359537,"63rd Match (N), Lucknow, May 16, 2023, Indian Premier League",LSG,MI,177/3,177,3,172/5,172,5,Super Giants won by 5 runs,/series/indian-premier-league-2023-1345038/lucknow-super-giants-vs-mumbai-indians-63rd-match-1359537/live-cricket-score,/series/indian-premier-league-2023-1345038/lucknow-super-giants-vs-mumbai-indians-63rd-match-1359537/match-overs-comparison
 May 17 2023,1359538,"64th Match (N), Dharamsala, May 17, 2023, Indian Premier League",DC,PBKS,213/2,213,2,198/8,198,8,Capitals won by 15 runs,/series/indian-premier-league-2023-1345038/punjab-kings-vs-delhi-capitals-64th-match-1359538/live-cricket-score,/series/indian-premier-league-2023-1345038/punjab-kings-vs-delhi-capitals-64th-match-1359538/match-overs-comparison
 May 18 2023,1359539,"65th Match (N), Hyderabad, May 18, 2023, Indian Premier League",SRH,RCB,186/5,186,5,187/2,187,2,RCB won by 8 wickets (with 4 balls remaining),/series/indian-premier-league-2023-1345038/sunrisers-hyderabad-vs-royal-challengers-bangalore-65th-match-1359539/live-cricket-score,/series/indian-premier-league-2023-1345038/sunrisers-hyderabad-vs-royal-challengers-bangalore-65th-match-1359539/match-overs-comparison
 May 19 2023,1359540,"66th Match (N), Dharamsala, May 19, 2023, Indian Premier League",PBKS,RR,187/5,187,5,189/6,189,6,Royals won by 4 wickets (with 2 balls remaining),/series/indian-premier-league-2023-1345038/punjab-kings-vs-rajasthan-royals-66th-match-1359540/live-cricket-score,/series/indian-premier-league-2023-1345038/punjab-kings-vs-rajasthan-royals-66th-match-1359540/match-overs-comparison
 May 20 2023,1359541,"67th Match (D/N), Delhi, May 20, 2023, Indian Premier League",CSK,DC,223/3,223,3,146/9,146,9,Super Kings won by 77 runs,/series/indian-premier-league-2023-1345038/delhi-capitals-vs-chennai-super-kings-67th-match-1359541/live-cricket-score,/series/indian-premier-league-2023-1345038/delhi-capitals-vs-chennai-super-kings-67th-match-1359541/match-overs-comparison
 May 20 2023,1359542,"68th Match (N), Eden Gardens, May 20, 2023, Indian Premier League",LSG,KKR,176/8,176,8,175/7,175,7,Super Giants won by 1 run,/series/indian-premier-league-2023-1345038/kolkata-knight-riders-vs-lucknow-super-giants-68th-match-1359542/live-cricket-score,/series/indian-premier-league-2023-1345038/kolkata-knight-riders-vs-lucknow-super-giants-68th-match-1359542/match-overs-comparison
 May 21 2023,preview,"69th Match (D/N), Wankhede, May 21, 2023, Indian Premier League",Mumbai Indians,Sunrisers Hyderabad,,,,,,,MI vs SRH - 69th Match,/series/indian-premier-league-2023-1345038/mumbai-indians-vs-sunrisers-hyderabad-69th-match-1359543/match-preview,/series/indian-premier-league-2023-1345038/mumbai-indians-vs-sunrisers-hyderabad-69th-match-1359543/match-preview
 May 21 2023,preview,"70th Match (N), Bengaluru, May 21, 2023, Indian Premier League",Royal Challengers Bangalore,Gujarat Titans,,,,,,,RCB vs GT - 70th Match,/series/indian-premier-league-2023-1345038/royal-challengers-bangalore-vs-gujarat-titans-70th-match-1359544/match-preview,/series/indian-premier-league-2023-1345038/royal-challengers-bangalore-vs-gujarat-titans-70th-match-1359544/match-preview
 May 23 2023,1345038,"Qualifier 1 (N), Chennai, May 23, 2023, Indian Premier League",Chennai Super Kings,Gujarat Titans,,,,,,,CSK vs GT - Qualifier 1,/series/indian-premier-league-2023-1345038,/series/indian-premier-league-2023-1345038
 May 24 2023,1345038,"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",Lucknow Super Giants,TBA,,,,,,,LSG vs TBA - Eliminator,/series/indian-premier-league-2023-1345038,/series/indian-premier-league-2023-1345038
 May 26 2023,1345038,"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",TBA,TBA,,,,,,,TBA vs TBA - Qualifier 2,/series/indian-premier-league-2023-1345038,/series/indian-premier-league-2023-1345038
 May 28 2023,1345038,"Final (N), Ahmedabad, May 28, 2023, Indian Premier League",TBA,TBA,,,,,,,TBA vs TBA - Final,/series/indian-premier-league-2023-1345038,/series/indian-premier-league-2023-1345038
