rank,Player,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4,team,bowler_surname,year,season,bowler,overall_key_count,home_key_count,away_key_count,team_position,Team Name
15,Z Khan (DC),12,12,262,43.4,1,337,10,3/21,3/21,33.70,7.71,26.20,-,DC,Khan,2016,2016,Zaheer Khan,4.0,2.0,2.0,,
1,DJ Bravo (CSK),17,16,314,52.2,-,426,26,3/22,3/22,16.38,8.14,12.07,,CSK,Bravo,2015,2015,Dwayne Bravo,10.0,7.0,3.0,1.0,Chennai Super Kings
2,SL Malinga (MI),15,15,360,60.0,3,444,24,4/23,4/23,18.50,7.40,15.00,,MI,Malinga,2015,2015,Lasith Malinga,14.0,7.0,7.0,2.0,Mumbai Indians
3,YS Chahal (RCB),15,14,281,46.5,-,415,23,3/40,3/40,18.04,8.86,12.21,,RCB,Chahal,2015,2015,Yuzvendra Chahal,8.0,4.0,4.0,3.0,Royal Challengers Bangalore
4,A Nehra (CSK),16,16,372,62.0,-,449,22,4/10,4/10,20.39,7.24,16.90,,CSK,Nehra,2015,2015,Ashish Nehra,6.0,4.0,2.0,1.0,Chennai Super Kings
5,MA Starc (RCB),13,12,258,43.0,1,291,20,4/15,4/15,14.55,6.76,12.90,,RCB,Starc,2015,2015,Mitchell Starc,6.0,2.0,4.0,3.0,Royal Challengers Bangalore
6,MJ McClenaghan (MI),12,12,282,47.0,-,386,18,3/16,3/16,21.44,8.21,15.66,,MI,McClenaghan,2015,2015,Mitchell McClenaghan,7.0,3.0,4.0,2.0,Mumbai Indians
7,B Kumar (SRH),14,14,310,51.4,1,407,18,3/26,3/26,22.61,7.87,17.22,,SRH,Kumar,2015,2015,Bhuvneshwar Kumar,10.0,4.0,6.0,6.0,Sunrisers Hyderabad
8,Harbhajan Singh (MI),15,15,342,57.0,1,446,18,3/27,3/27,24.77,7.82,19.00,,MI,Singh,2015,2015,Harbhajan Singh,7.0,3.0,4.0,2.0,Mumbai Indians
9,HV Patel (RCB),15,14,263,43.5,-,328,17,2/12,2/12,19.29,7.48,15.47,,RCB,Patel,2015,2015,Axar Patel,7.0,3.0,4.0,3.0,Royal Challengers Bangalore
10,D Wiese (RCB),14,13,254,42.2,-,353,16,4/33,4/33,22.06,8.33,15.87,,RCB,Wiese,2015,2015,David Wiese,4.0,2.0,2.0,3.0,Royal Challengers Bangalore
11,MM Sharma (CSK),16,16,342,57.0,-,481,14,3/25,3/25,34.35,8.43,24.42,,CSK,Sharma,2015,2015,Sandeep Sharma,5.0,2.0,3.0,1.0,Chennai Super Kings
12,DS Kulkarni (RR),11,11,210,35.0,1,277,13,2/9,2/9,21.30,7.91,16.15,,RR,Kulkarni,2015,2015,Dhawal Kulkarni,7.0,5.0,2.0,4.0,Rajasthan Royals
13,CH Morris (RR),11,11,252,42.0,-,311,13,4/23,4/23,23.92,7.40,19.38,,RR,Morris,2015,2015,Chris Morris,6.0,4.0,2.0,4.0,Rajasthan Royals
14,MC Henriques (SRH),9,9,150,25.0,-,158,11,3/16,3/16,14.36,6.32,13.63,,SRH,Henriques,2015,2015,Moises Henriques,3.0,3.0,0.0,6.0,Sunrisers Hyderabad
15,RA Jadeja (CSK),17,15,256,42.4,-,330,11,4/11,4/11,30.00,7.73,23.27,,CSK,Jadeja,2015,2015,Ravindra Jadeja,3.0,2.0,1.0,1.0,Chennai Super Kings
1,MM Sharma (CSK),16,16,323,53.5,-,452,23,4/14,4/14,19.64,8.39,14.04,,CSK,Sharma,2014,2014,Mohit Sharma,8.0,3.0,5.0,3.0,Chennai Super Kings
2,SP Narine (KKR),16,16,384,64.0,-,407,21,4/20,4/20,19.38,6.35,18.28,,KKR,Narine,2014,2014,Sunil Narine,8.0,5.0,3.0,2.0,Kolkata Knight Riders
3,RA Jadeja (CSK),16,16,326,54.2,-,443,19,4/12,4/12,23.31,8.15,17.15,,CSK,Jadeja,2014,2014,Ravindra Jadeja,6.0,2.0,4.0,3.0,Chennai Super Kings
4,Sandeep Sharma (KXIP),11,11,241,40.1,2,354,18,3/15,3/15,19.66,8.81,13.38,,KXIP,Sharma,2014,2014,Mohit Sharma,8.0,3.0,5.0,1.0,Kings XI Punjab
5,AR Patel (KXIP),17,17,396,66.0,2,405,17,3/24,3/24,23.82,6.13,23.29,,KXIP,Patel,2014,2014,Axar Patel,9.0,4.0,5.0,1.0,Kings XI Punjab
6,MG Johnson (KXIP),14,14,321,53.3,-,444,17,2/19,2/19,26.11,8.29,18.88,,KXIP,Johnson,2014,2014,Mitchell Johnson,3.0,2.0,1.0,1.0,Kings XI Punjab
7,R Ashwin (CSK),16,16,359,59.5,1,437,16,3/30,3/30,27.31,7.30,22.43,,CSK,Ashwin,2014,2014,Ravichandran Ashwin,5.0,3.0,2.0,3.0,Chennai Super Kings
8,PV Tambe (RR),13,13,294,49.0,-,356,15,4/20,4/20,23.73,7.26,19.60,,RR,Tambe,2014,2014,Pravin Tambe,5.0,3.0,2.0,5.0,Rajasthan Royals
9,PP Chawla (KKR),11,11,237,39.3,-,303,14,3/19,3/19,21.64,7.67,16.92,,KKR,Chawla,2014,2014,Piyush Chawla,3.0,1.0,2.0,2.0,Kolkata Knight Riders
10,Harbhajan Singh (MI),14,14,330,55.0,1,356,14,2/13,2/13,25.42,6.47,23.57,,MI,Singh,2014,2014,Harbhajan Singh,6.0,3.0,3.0,4.0,Mumbai Indians
11,R Dhawan (KXIP),13,13,284,47.2,-,365,13,2/14,2/14,28.07,7.71,21.84,,KXIP,Dhawan,2014,2014,Rishi Dhawan,4.0,2.0,2.0,1.0,Kings XI Punjab
12,L Balaji (KXIP),9,9,204,34.0,-,299,12,4/13,4/13,24.91,8.79,17.00,,KXIP,Balaji,2014,2014,Lakshmipathy Balaji,2.0,1.0,1.0,1.0,Kings XI Punjab
13,M Morkel (KKR),12,12,288,48.0,1,367,12,2/20,2/20,30.58,7.64,24.00,,KKR,Morkel,2014,2014,Morne Morkel,5.0,3.0,2.0,2.0,Kolkata Knight Riders
14,Karanveer Singh (KXIP),5,5,120,20.0,-,164,11,4/54,4/54,14.90,8.20,10.90,,KXIP,Singh,2014,2014,Harbhajan Singh,6.0,3.0,3.0,1.0,Kings XI Punjab
15,Shakib Al Hasan (KKR),13,13,300,50.0,1,334,11,2/22,2/22,30.36,6.68,27.27,,KKR,Hasan,2014,2014,,,,,2.0,Kolkata Knight Riders
1,DJ Bravo (CSK),18,18,375,62.3,-,497,32,4/42,4/42,15.53,7.95,11.71,1,CSK,Bravo,2013,2013,Dwayne Bravo,12.0,8.0,4.0,1.0,Chennai Super Kings
2,JP Faulkner (RR),16,16,379,63.1,2,427,28,5/16,5/16,15.25,6.75,13.53,-,RR,Faulkner,2013,2013,James Faulkner,9.0,3.0,6.0,3.0,Rajasthan Royals
3,Harbhajan Singh (MI),19,19,420,70.0,-,456,24,3/14,3/14,19.00,6.51,17.50,-,MI,Singh,2013,2013,Harbhajan Singh,7.0,4.0,3.0,2.0,Mumbai Indians
4,MG Johnson (MI),17,17,384,64.0,-,459,24,3/27,3/27,19.12,7.17,16.00,-,MI,Johnson,2013,2013,Mitchell Johnson,11.0,7.0,4.0,2.0,Mumbai Indians
5,SP Narine (KKR),16,16,384,64.0,1,350,22,4/13,4/13,15.90,5.46,17.45,2,KKR,Narine,2013,2013,Sunil Narine,9.0,5.0,4.0,7.0,Kolkata Knight Riders
6,A Mishra (SRH),17,17,372,62.0,1,394,21,4/19,4/19,18.76,6.35,17.71,1,SRH,Mishra,2013,2013,Amit Mishra,8.0,5.0,3.0,4.0,Sunrisers Hyderabad
7,MM Sharma (CSK),15,15,304,50.4,-,326,20,3/10,3/10,16.30,6.43,15.20,-,CSK,Sharma,2013,2013,Mohit Sharma,8.0,3.0,5.0,1.0,Chennai Super Kings
8,SL Malinga (MI),17,17,392,65.2,-,468,20,3/39,3/39,23.40,7.16,19.60,-,MI,Malinga,2013,2013,Lasith Malinga,5.0,2.0,3.0,2.0,Mumbai Indians
9,DW Steyn (SRH),17,17,407,67.5,3,384,19,3/11,3/11,20.21,5.66,21.42,-,SRH,Steyn,2013,2013,Dale Steyn,7.0,4.0,3.0,4.0,Sunrisers Hyderabad
10,KK Cooper (RR),14,14,324,54.0,-,449,19,3/15,3/15,23.63,8.31,17.05,-,RR,Cooper,2013,2013,Kevon Cooper,5.0,2.0,3.0,3.0,Rajasthan Royals
11,NLTC Perera (SRH),16,16,358,59.4,-,478,19,3/20,3/20,25.15,8.01,18.84,-,SRH,Perera,2013,2013,Thisara Perera,6.0,2.0,4.0,4.0,Sunrisers Hyderabad
12,PP Ojha (MI),16,15,314,52.2,-,381,16,3/11,3/11,23.81,7.28,19.62,-,MI,Ojha,2013,2013,Pragyan Ojha,4.0,2.0,2.0,2.0,Mumbai Indians
13,JH Kallis (KKR),16,15,318,53.0,1,394,16,3/13,3/13,24.62,7.43,19.87,-,KKR,Kallis,2013,2013,Jacques Kallis,4.0,3.0,1.0,7.0,Kolkata Knight Riders
14,AB Dinda (PWI),13,13,294,49.0,-,465,16,3/31,3/31,29.06,9.48,18.37,-,PWI,Dinda,2013,2013,Ashok Dinda,4.0,1.0,3.0,8.0,Pune Warriors
15,UT Yadav (DC),16,16,347,57.5,-,508,16,4/24,4/24,31.75,8.78,21.68,1,DC,Yadav,2013,2013,Umesh Yadav,7.0,5.0,2.0,,
1,M Morkel (DC),16,16,378,63.0,1,453,25,4/20,4/20,18.12,7.19,15.12,1,DC,Morkel,2012,2012,Morne Morkel,12.0,5.0,7.0,8.0,Deccan Chargers
2,SP Narine (KKR),15,15,355,59.1,1,324,24,5/19,5/19,13.50,5.47,14.79,1,KKR,Narine,2012,2012,Sunil Narine,13.0,7.0,6.0,2.0,Kolkata Knight Riders
3,SL Malinga (MI),14,14,333,55.3,1,350,22,4/16,4/16,15.90,6.30,15.13,1,MI,Malinga,2012,2012,Lasith Malinga,11.0,4.0,7.0,3.0,Mumbai Indians
4,UT Yadav (DC),17,17,366,61.0,2,453,19,3/19,3/19,23.84,7.42,19.26,-,DC,Yadav,2012,2012,Umesh Yadav,7.0,3.0,4.0,8.0,Deccan Chargers
5,R Vinay Kumar (RCB),15,14,335,55.5,-,480,19,3/22,3/22,25.26,8.59,17.63,-,RCB,Kumar,2012,2012,Vinay Kumar,7.0,3.0,4.0,5.0,Royal Challengers Bangalore
6,DW Steyn (DC),12,12,280,46.4,2,285,18,3/8,3/8,15.83,6.10,15.55,-,DC,Steyn,2012,2012,Dale Steyn,3.0,3.0,0.0,8.0,Deccan Chargers
7,Z Khan (RCB),16,15,360,60.0,1,453,17,3/38,3/38,26.64,7.55,21.17,-,RCB,Khan,2012,2012,Zaheer Khan,7.0,3.0,4.0,5.0,Royal Challengers Bangalore
8,KA Pollard (MI),14,14,263,43.5,-,350,16,4/44,4/44,21.87,7.98,16.43,1,MI,Pollard,2012,2012,Kieron Pollard,6.0,2.0,4.0,3.0,Mumbai Indians
9,M Muralidaran (RCB),10,10,240,40.0,-,260,15,3/21,3/21,17.32,6.50,16.00,-,RCB,Muralidaran,2012,2012,Muthiah Muralidaran,7.0,3.0,4.0,5.0,Royal Challengers Bangalore
10,JH Kallis (KKR),17,16,324,54.0,-,403,15,2/7,2/7,26.86,7.46,21.60,-,KKR,Kallis,2012,2012,Jacques Kallis,6.0,2.0,4.0,2.0,Kolkata Knight Riders
11,DJ Bravo (CSK),19,18,346,57.4,-,462,15,2/10,2/10,30.80,8.01,23.06,-,CSK,Bravo,2012,2012,Dwayne Bravo,7.0,5.0,2.0,4.0,Chennai Super Kings
12,BW Hilfenhaus (CSK),9,9,204,34.0,2,233,14,3/27,3/27,16.64,6.85,14.57,-,CSK,Hilfenhaus,2012,2012,Ben Hilfenhaus,5.0,2.0,3.0,4.0,Chennai Super Kings
13,R Ashwin (CSK),19,18,395,65.5,-,431,14,3/23,3/23,30.78,6.54,28.21,-,CSK,Ashwin,2012,2012,Ravichandran Ashwin,6.0,3.0,3.0,4.0,Chennai Super Kings
14,A Mishra (DC),14,14,282,47.0,-,377,13,3/32,3/32,29.00,8.02,21.69,-,DC,Mishra,2012,2012,Amit Mishra,1.0,1.0,0.0,8.0,Deccan Chargers
15,SK Trivedi (RR),14,14,312,52.0,1,380,13,4/25,4/25,29.23,7.30,24.00,1,RR,Trivedi,2012,2012,Siddharth Trivedi,5.0,2.0,3.0,7.0,Rajasthan Royals
1,SL Malinga (MI),16,16,378,63.0,2,375,28,5/13,5/13,13.39,5.95,13.50,-,MI,Malinga,2011,2011,Lasith Malinga,13.0,6.0,7.0,3.0,Mumbai Indians
2,MM Patel (MI),15,15,326,54.2,1,358,22,5/21,5/21,16.27,6.58,14.81,-,MI,Patel,2011,2011,Munaf Patel,10.0,6.0,4.0,3.0,Mumbai Indians
3,S Aravind (RCB),13,13,276,46.0,-,368,21,4/14,4/14,17.52,8.00,13.14,1,RCB,Aravind,2011,2011,Sreenath Aravind,6.0,2.0,4.0,1.0,Royal Challengers Bangalore
4,R Ashwin (CSK),16,16,378,63.0,1,388,20,3/16,3/16,19.39,6.15,18.89,-,CSK,Ashwin,2011,2011,Ravichandran Ashwin,11.0,7.0,4.0,2.0,Chennai Super Kings
5,A Mishra (DC),14,14,320,53.2,2,358,19,4/9,4/9,18.84,6.71,16.84,1,DC,Mishra,2011,2011,Amit Mishra,5.0,3.0,2.0,7.0,Deccan Chargers
6,DE Bollinger (CSK),13,13,282,47.0,1,329,17,3/21,3/21,19.35,7.00,16.58,-,CSK,Bollinger,2011,2011,Doug Bollinger,7.0,2.0,5.0,2.0,Chennai Super Kings
7,R Sharma (PWI),14,14,300,50.0,1,273,16,3/13,3/13,17.05,5.46,18.75,-,PWI,Sharma,2011,2011,Rahul Sharma,3.0,1.0,2.0,9.0,Pune Warriors
8,Iqbal Abdulla (KKR),15,15,300,50.0,-,305,16,3/24,3/24,19.05,6.10,18.75,-,KKR,Abdulla,2011,2011,Iqbal Abdulla,8.0,5.0,3.0,4.0,Kolkata Knight Riders
9,PP Chawla (KXIP),12,12,248,41.2,-,336,16,4/17,4/17,21.00,8.12,15.50,1,KXIP,Chawla,2011,2011,Piyush Chawla,6.0,2.0,4.0,5.0,Kings XI Punjab
10,RJ Harris (KXIP),13,13,282,47.0,1,382,16,3/28,3/28,23.87,8.12,17.62,-,KXIP,Harris,2011,2011,Ryan Harris,6.0,3.0,3.0,5.0,Kings XI Punjab
11,JA Morkel (CSK),15,14,270,45.0,1,382,15,3/29,3/29,25.46,8.48,18.00,-,CSK,Morkel,2011,2011,Albie Morkel,6.0,4.0,2.0,2.0,Chennai Super Kings
12,DW Steyn (DC),12,12,273,45.3,1,299,14,3/16,3/16,21.35,6.57,19.50,-,DC,Steyn,2011,2011,Dale Steyn,3.0,1.0,2.0,7.0,Deccan Chargers
13,Harbhajan Singh (MI),15,15,318,53.0,1,370,14,5/18,5/18,26.42,6.98,22.71,-,MI,Singh,2011,2011,RP Singh,7.0,3.0,4.0,3.0,Mumbai Indians
14,Z Khan (RCB),15,15,354,59.0,1,455,14,3/32,3/32,32.50,7.71,25.28,-,RCB,Khan,2011,2011,Zaheer Khan,6.0,3.0,3.0,1.0,Royal Challengers Bangalore
15,YK Pathan (KKR),15,14,234,39.0,1,238,13,3/20,3/20,18.30,6.10,18.00,-,KKR,Pathan,2011,2011,Yusuf Pathan,8.0,4.0,4.0,4.0,Kolkata Knight Riders
1,PP Ojha (DC),16,16,353,58.5,-,429,21,3/26,3/26,20.42,7.29,16.80,,DC,Ojha,2010,2010,Pragyan Ojha,4.0,2.0,2.0,2.0,Deccan Chargers
2,A Mishra (DC),14,14,318,53.0,-,363,17,3/25,3/25,21.35,6.84,18.70,,DC,Mishra,2010,2010,Amit Mishra,6.0,5.0,1.0,2.0,Deccan Chargers
3,Harbhajan Singh (MI),15,14,321,53.3,1,377,17,3/31,3/31,22.17,7.04,18.88,,MI,Singh,2010,2010,Harbhajan Singh,6.0,4.0,2.0,1.0,Mumbai Indians
4,A Kumble (RCB),16,16,380,63.2,-,407,17,4/16,4/16,23.94,6.42,22.35,,RCB,Kumble,2010,2010,Anil Kumble,8.0,5.0,3.0,4.0,Royal Challengers Bangalore
5,R Vinay Kumar (RCB),14,14,278,46.2,-,396,16,4/40,4/40,24.75,8.54,17.37,,RCB,Kumar,2010,2010,Vinay Kumar,7.0,4.0,3.0,4.0,Royal Challengers Bangalore
6,KA Pollard (MI),14,12,222,37.0,-,274,15,3/17,3/17,18.26,7.40,14.80,,MI,Pollard,2010,2010,Kieron Pollard,3.0,1.0,2.0,1.0,Mumbai Indians
7,M Muralidaran (CSK),12,12,288,48.0,-,329,15,3/16,3/16,21.93,6.85,19.20,,CSK,Muralidaran,2010,2010,Muthiah Muralidaran,5.0,1.0,4.0,3.0,Chennai Super Kings
8,SL Malinga (MI),13,13,294,49.0,-,344,15,4/22,4/22,22.93,7.02,19.60,,MI,Malinga,2010,2010,Lasith Malinga,5.0,3.0,2.0,1.0,Mumbai Indians
9,Z Khan (MI),14,14,290,48.2,1,376,15,3/21,3/21,25.06,7.77,19.33,,MI,Khan,2010,2010,Zaheer Khan,7.0,5.0,2.0,1.0,Mumbai Indians
10,DW Steyn (RCB),15,15,354,59.0,1,406,15,3/18,3/18,27.06,6.88,23.60,,RCB,Steyn,2010,2010,Dale Steyn,9.0,3.0,6.0,4.0,Royal Challengers Bangalore
11,IK Pathan (KXIP),14,14,278,46.2,-,426,15,3/24,3/24,28.40,9.19,18.53,,KXIP,Pathan,2010,2010,Irfan Pathan,8.0,4.0,4.0,8.0,Kings XI Punjab
12,RJ Harris (DC),8,8,184,30.4,-,233,14,3/18,3/18,16.64,7.59,13.14,,DC,Harris,2010,2010,Ryan Harris,4.0,1.0,3.0,2.0,Deccan Chargers
13,SB Jakati (CSK),11,11,228,38.0,1,291,13,2/17,2/17,22.38,7.65,17.53,,CSK,Jakati,2010,2010,Shadab Jakati,7.0,3.0,4.0,3.0,Chennai Super Kings
14,R Ashwin (CSK),12,12,288,48.0,1,293,13,3/16,3/16,22.53,6.10,22.15,,CSK,Ashwin,2010,2010,Ravichandran Ashwin,6.0,3.0,3.0,3.0,Chennai Super Kings
15,RP Singh (DC),12,12,252,42.0,-,370,13,3/17,3/17,28.46,8.80,19.38,,DC,Singh,2010,2010,Harbhajan Singh,6.0,4.0,2.0,2.0,Deccan Chargers
1,RP Singh (DC),16,16,358,59.4,1,417,23,4/22,4/22,18.13,6.98,15.56,1,DC,Singh,2009,2009,Harbhajan Singh,4.0,0.0,4.0,4.0,Deccan Chargers
2,A Kumble (RCB),16,16,355,59.1,1,347,21,5/5,5/5,16.52,5.86,16.90,1,RCB,Kumble,2009,2009,Anil Kumble,9.0,8.0,1.0,3.0,Royal Challengers Bangalore
3,A Nehra (DC),13,13,306,51.0,1,346,19,3/27,3/27,18.21,6.78,16.10,-,DC,Nehra,2009,2009,Ashish Nehra,9.0,5.0,4.0,4.0,Deccan Chargers
4,SL Malinga (MI),13,13,297,49.3,2,311,18,3/10,3/10,17.27,6.28,16.50,-,MI,Malinga,2009,2009,Lasith Malinga,7.0,1.0,6.0,7.0,Mumbai Indians
5,PP Ojha (DC),15,15,321,53.3,-,348,18,3/21,3/21,19.32,6.50,17.83,-,DC,Ojha,2009,2009,Pragyan Ojha,5.0,2.0,3.0,4.0,Deccan Chargers
6,IK Pathan (KXIP),14,14,302,50.2,1,390,17,3/35,3/35,22.94,7.74,17.76,-,KXIP,Pathan,2009,2009,Yusuf Pathan,5.0,2.0,3.0,5.0,Kings XI Punjab
7,MM Patel (RR),11,11,209,34.5,1,241,16,2/14,2/14,15.06,6.91,13.06,-,RR,Patel,2009,2009,Munaf Patel,5.0,0.0,5.0,6.0,Rajasthan Royals
8,PJ Sangwan (DC),13,13,280,46.4,1,360,15,3/18,3/18,24.00,7.71,18.66,-,DC,Sangwan,2009,2009,Pradeep Sangwan,4.0,2.0,2.0,4.0,Deccan Chargers
9,DP Nannes (DC),13,13,297,49.3,-,372,15,3/27,3/27,24.80,7.51,19.80,-,DC,Nannes,2009,2009,Dirk Nannes,4.0,3.0,1.0,4.0,Deccan Chargers
10,M Muralidaran (CSK),13,13,300,50.0,1,261,14,3/11,3/11,18.64,5.22,21.42,-,CSK,Muralidaran,2009,2009,Muthiah Muralidaran,7.0,6.0,1.0,2.0,Chennai Super Kings
11,A Mishra (DC),11,11,252,42.0,1,294,14,3/14,3/14,21.00,7.00,18.00,-,DC,Mishra,2009,2009,Amit Mishra,5.0,3.0,2.0,4.0,Deccan Chargers
12,SK Warne (RR),13,13,300,50.0,-,365,14,3/24,3/24,26.07,7.30,21.42,-,RR,Warne,2009,2009,Shane Warne,4.0,0.0,4.0,6.0,Rajasthan Royals
13,SB Jakati (CSK),9,8,174,29.0,-,217,13,4/22,4/22,16.69,7.48,13.38,2,CSK,Jakati,2009,2009,Shadab Jakati,6.0,6.0,0.0,2.0,Chennai Super Kings
14,L Balaji (CSK),13,13,224,37.2,-,316,13,4/21,4/21,24.30,8.46,17.23,1,CSK,Balaji,2009,2009,Lakshmipathy Balaji,4.0,3.0,1.0,2.0,Chennai Super Kings
15,JA Morkel (CSK),12,12,240,40.0,1,324,13,2/13,2/13,24.92,8.10,18.46,-,CSK,Morkel,2009,2009,Albie Morkel,4.0,3.0,1.0,2.0,Chennai Super Kings
1,Sohail Tanvir (RR),11,11,247,41.1,-,266,22,6/14,6/14,12.09,6.46,11.22,1,RR,Tanvir,2008,2008,Sohail Tanvir,6.0,4.0,2.0,1.0,Rajasthan Royals
2,SK Warne (RR),15,15,312,52.0,1,404,19,3/19,3/19,21.26,7.76,16.42,-,RR,Warne,2008,2008,Shane Warne,8.0,4.0,4.0,1.0,Rajasthan Royals
3,S Sreesanth (KXIP),15,15,307,51.1,-,442,19,3/29,3/29,23.26,8.63,16.15,-,KXIP,Sreesanth,2008,2008,Sreesanth,9.0,3.0,6.0,2.0,Kings XI Punjab
4,SR Watson (RR),15,15,325,54.1,-,383,17,3/10,3/10,22.52,7.07,19.11,-,RR,Watson,2008,2008,Shane Watson,8.0,2.0,6.0,1.0,Rajasthan Royals
5,PP Chawla (KXIP),15,15,281,46.5,-,389,17,3/25,3/25,22.88,8.30,16.52,-,KXIP,Chawla,2008,2008,Piyush Chawla,6.0,4.0,2.0,2.0,Kings XI Punjab
6,JA Morkel (CSK),13,13,288,48.0,-,399,17,4/32,4/32,23.47,8.31,16.94,1,CSK,Morkel,2008,2008,Albie Morkel,7.0,5.0,2.0,3.0,Chennai Super Kings
7,MS Gony (CSK),16,16,360,60.0,3,443,17,3/34,3/34,26.05,7.38,21.17,-,CSK,Gony,2008,2008,Manpreet Gony,6.0,4.0,2.0,3.0,Chennai Super Kings
8,VY Mahesh (DC),11,11,253,42.1,-,370,16,4/36,4/36,23.12,8.77,15.81,1,DC,Mahesh,2008,2008,Yo Mahesh,6.0,2.0,4.0,8.0,Deccan Chargers
9,MF Maharoof (DC),10,10,216,36.0,-,249,15,3/34,3/34,16.60,6.91,14.40,-,DC,Maharoof,2008,2008,Farveez Maharoof,6.0,3.0,3.0,8.0,Deccan Chargers
10,IK Pathan (KXIP),14,14,318,53.0,2,350,15,2/18,2/18,23.33,6.60,21.20,-,KXIP,Pathan,2008,2008,Irfan Pathan,8.0,5.0,3.0,2.0,Kings XI Punjab
11,RP Singh (DC),14,14,308,51.2,1,442,15,3/35,3/35,29.46,8.61,20.53,-,DC,Singh,2008,2008,RP Singh,5.0,1.0,4.0,8.0,Deccan Chargers
12,MM Patel (RR),15,15,330,55.0,1,420,14,3/17,3/17,30.00,7.63,23.57,-,RR,Patel,2008,2008,Munaf Patel,4.0,1.0,3.0,1.0,Rajasthan Royals
13,SK Trivedi (RR),15,15,288,48.0,-,399,13,2/25,2/25,30.69,8.31,22.15,-,RR,Trivedi,2008,2008,Siddharth Trivedi,5.0,4.0,1.0,1.0,Rajasthan Royals
14,Umar Gul (KKR),6,6,135,22.3,1,184,12,4/23,4/23,15.33,8.17,11.25,1,KKR,Gul,2008,2008,Umar Gul,4.0,2.0,2.0,6.0,Kolkata Knight Riders
15,A Nehra (MI),14,14,269,44.5,-,348,12,3/13,3/13,29.00,7.76,22.41,-,MI,Nehra,2008,2008,Ashish Nehra,4.0,2.0,2.0,5.0,Mumbai Indians
